feature,frequency,rank,docfreq,group
wanted,184,2838,137,all
defect,184,2838,74,all
leave,184,2838,146,all
moved,184,2838,117,all
drops,184,2838,98,all
gain,184,2838,109,all
basis,184,2838,126,all
viral,184,2838,78,all
mrs,184,2838,99,all
rhinorrhea,184,2838,123,all
zestril,184,2838,97,all
montelukast,183,2851,74,all
etoh,183,2851,86,all
surrounding,183,2851,90,all
endurance,183,2851,98,all
completely,183,2851,121,all
od,183,2851,56,all
interested,183,2851,124,all
orthostatic,183,2851,67,all
dislocation,183,2851,65,all
gauge,182,2860,70,all
cd,182,2860,43,all
coli,182,2860,58,all
perfused,182,2860,119,all
doesn,182,2860,119,all
clothing,182,2860,92,all
hair,182,2860,104,all
hypercholesterolemia,182,2860,85,all
yr,182,2860,105,all
glands,182,2860,100,all
otc,182,2860,112,all
fx,182,2860,63,all
suicidal,181,2872,94,all
hydromorphone,181,2872,70,all
bicarb,181,2872,91,all
diverticulitis,181,2872,49,all
contacted,181,2872,134,all
telephone,181,2872,118,all
eg,181,2872,123,all
delivery,181,2872,87,all
accepted,181,2872,129,all
bipap,181,2872,42,all
hematological,181,2872,131,all
scott,181,2872,73,all
understands,181,2872,119,all
aminotransferase,181,2872,80,all
sulfa,181,2872,93,all
mirtazapine,181,2872,73,all
voltaren,180,2888,83,all
spleen,180,2888,95,all
affected,180,2888,101,all
probably,180,2888,126,all
msw,180,2888,40,all
esterase,180,2888,129,all
43,180,2888,107,all
different,180,2888,129,all
sugars,180,2888,75,all
immunologic,180,2888,131,all
dilatation,179,2898,86,all
pca,179,2898,59,all
turgor,179,2898,133,all
reviewing,179,2898,125,all
arrived,179,2898,120,all
nicotine,179,2898,50,all
polyuria,179,2898,123,all
debridement,179,2898,48,all
zinc,178,2906,74,all
singulair,178,2906,75,all
artifact,178,2906,77,all
tuberculin,178,2906,105,all
addendum,178,2906,102,all
products,178,2906,89,all
remeron,178,2906,74,all
always,178,2906,117,all
hardware,178,2906,76,all
nsaids,178,2906,89,all
thanks,177,2916,113,all
transcription,177,2916,112,all
overload,177,2916,69,all
sensitive,177,2916,76,all
pneumococcal,177,2916,85,all
tissues,177,2916,106,all
usually,177,2916,128,all
february,177,2916,94,all
amoxicillin,177,2916,96,all
aunt,177,2916,60,all
radiographs,177,2916,90,all
alternatives,177,2916,115,all
acuity,176,2928,100,all
recovery,176,2928,111,all
checked,176,2928,115,all
qtc,176,2928,68,all
qam,176,2928,81,all
class,176,2928,82,all
sexually,176,2928,114,all
psychomotor,176,2928,49,all
gradient,176,2928,35,all
norco,176,2928,80,all
papules,176,2928,73,all
droop,175,2939,53,all
responsive,175,2939,101,all
series,175,2939,70,all
lipids,175,2939,101,all
stools,175,2939,93,all
accessory,175,2939,99,all
saline,175,2939,102,all
toxic,175,2939,112,all
bacterial,175,2939,83,all
grandfather,175,2939,56,all
strip,174,2949,65,all
milk,174,2949,95,all
hb,174,2949,71,all
rca,174,2949,50,all
ck,174,2949,76,all
bonner,174,2949,1,all
thromboembolism,173,2955,62,all
hormone,173,2955,101,all
complaining,173,2955,116,all
skull,173,2955,101,all
comorbidities,173,2955,124,all
lytes,173,2955,94,all
heat,173,2955,117,all
desyrel,173,2955,87,all
describes,173,2955,106,all
cystoscopy,173,2955,54,all
xarelto,173,2955,42,all
tabs,172,2966,83,all
changing,172,2966,111,all
diameter,172,2966,67,all
extending,172,2966,77,all
leukocyte,172,2966,125,all
bue,172,2966,93,all
seborrheic,172,2966,81,all
nervous,172,2966,118,all
pleasure,172,2966,124,all
disclaimer,171,2975,108,all
wishes,171,2975,123,all
anything,171,2975,132,all
bisacodyl,171,2975,65,all
turning,171,2975,130,all
suppository,171,2975,72,all
aldactone,171,2975,74,all
virus,171,2975,83,all
exchange,171,2975,45,all
arthralgias,171,2975,128,all
sulfonamide,171,2975,91,all
hemoptysis,171,2975,102,all
dp,170,2987,92,all
coughing,170,2987,109,all
superimposed,170,2987,78,all
really,170,2987,124,all
mononitrate,170,2987,55,all
restrictions,170,2987,96,all
mohs,170,2987,46,all
nothing,169,2994,114,all
instability,169,2994,101,all
focus,169,2994,94,all
electrolytes,169,2994,110,all
lunch,169,2994,101,all
gcs,169,2994,57,all
period,169,2994,126,all
opacity,169,2994,68,all
sar,169,2994,64,all
cysto,169,2994,37,all
gyn,169,2994,68,all
intramuscular,168,3005,103,all
sites,168,3005,97,all
monitored,168,3005,116,all
pd,168,3005,50,all
alignment,168,3005,79,all
prominence,168,3005,83,all
claudication,168,3005,92,all
pod,168,3005,68,all
tpa,167,3013,30,all
diffusion,167,3013,70,all
proventil,167,3013,83,all
split,167,3013,74,all
pvr,167,3013,44,all
finasteride,167,3013,55,all
growth,166,3019,83,all
intradermal,166,3019,84,all
wc,166,3019,85,all
widowed,166,3019,112,all
veins,166,3019,79,all
update,166,3019,113,all
ciprofloxacin,166,3019,80,all
stating,166,3019,110,all
sternal,166,3019,70,all
hiatal,166,3019,66,all
quite,166,3019,122,all
friction,166,3019,124,all
regularly,166,3019,105,all
seasonal,166,3019,90,all
nl,166,3019,83,all
zoster,165,3034,87,all
angiogram,165,3034,70,all
integumentary,165,3034,100,all
valvular,165,3034,63,all
towards,165,3034,111,all
screened,165,3034,137,all
normally,165,3034,107,all
epithelial,165,3034,100,all
syncopal,165,3034,57,all
lip,165,3034,68,all
mastectomy,165,3034,32,all
diaphoresis,165,3034,106,all
scheduling,165,3034,106,all
iu,165,3034,56,all
neuromuscular,164,3048,115,all
thickness,164,3048,83,all
emphysema,164,3048,73,all
chemo,164,3048,70,all
unresponsive,164,3048,57,all
wave,164,3048,96,all
diuresis,164,3048,58,all
mucus,164,3048,103,all
questionnaire,164,3048,103,all
putting,164,3048,87,all
generally,164,3048,93,all
elizabeth,164,3048,62,all
profile,164,3048,102,all
far,163,3061,115,all
notify,163,3061,120,all
considered,163,3061,114,all
obese,163,3061,102,all
frank,163,3061,67,all
01,163,3061,76,all
flush,163,3061,50,all
fev,163,3061,33,all
helped,162,3069,107,all
kevin,162,3069,33,all
might,162,3069,107,all
dnr,162,3069,82,all
measured,162,3069,105,all
portion,162,3069,102,all
indeterminate,162,3069,66,all
triage,162,3069,116,all
talks,162,3069,116,all
duo,162,3069,73,all
possibility,162,3069,106,all
relationships,162,3069,117,all
daniel,162,3069,72,all
smoke,162,3069,103,all
cooper,162,3069,63,all
subsequently,161,3084,105,all
steven,161,3084,61,all
onto,161,3084,98,all
prognosis,161,3084,91,all
supraclavicular,161,3084,108,all
xray,161,3084,75,all
ambulating,161,3084,106,all
infections,161,3084,100,all
quitting,161,3084,94,all
asymmetry,161,3084,119,all
forced,161,3084,114,all
woman,161,3084,91,all
green,161,3084,71,all
citalopram,161,3084,62,all
polydipsia,161,3084,112,all
svt,161,3084,38,all
successful,161,3084,98,all
regional,161,3084,76,all
thrombus,160,3102,60,all
replaced,160,3102,97,all
attend,160,3102,71,all
eric,160,3102,61,all
combo,160,3102,76,all
pci,160,3102,49,all
foods,160,3102,91,all
strict,160,3102,99,all
infiltrate,159,3110,70,all
jennifer,159,3110,85,all
quadrivalent,159,3110,52,all
agency,159,3110,98,all
occipital,159,3110,45,all
speak,159,3110,127,all
russell,159,3110,40,all
ambulated,159,3110,94,all
bipolar,159,3110,36,all
pancreatitis,159,3110,28,all
mentation,158,3120,84,all
correct,158,3120,94,all
negatives,158,3120,54,all
examiner,158,3120,87,all
promote,158,3120,93,all
american,158,3120,91,all
neb,158,3120,74,all
across,158,3120,88,all
esophagus,158,3120,65,all
restart,158,3120,87,all
maximum,158,3120,96,all
addressing,158,3120,62,all
pancreatic,158,3120,39,all
ergocalciferol,158,3120,77,all
latanoprost,158,3120,60,all
mcleod,158,3120,48,all
imdur,158,3120,50,all
mins,157,3137,90,all
flutter,157,3137,34,all
mrna,157,3137,78,all
therex,157,3137,113,all
find,157,3137,129,all
formoterol,157,3137,61,all
ec,157,3137,90,all
ppi,157,3137,83,all
rhinitis,157,3137,63,all
sinusitis,157,3137,53,all
hepatosplenomegaly,157,3137,117,all
anaphylaxis,156,3148,51,all
apresoline,156,3148,81,all
mch,156,3148,109,all
edward,156,3148,53,all
est,156,3148,88,all
heavy,156,3148,91,all
hypercalcemia,156,3148,33,all
lightheadedness,156,3148,96,all
thus,156,3148,95,all
inflammation,156,3148,91,all
strips,156,3148,64,all
supply,155,3159,79,all
approved,155,3159,96,all
ground,155,3159,90,all
fairly,155,3159,111,all
tibia,155,3159,21,all
minimize,155,3159,81,all
limit,155,3159,83,all
hemodynamically,155,3159,100,all
fh,155,3159,101,all
devices,155,3159,102,all
copy,154,3169,125,all
suggested,154,3169,108,all
difficulties,154,3169,97,all
prolapse,154,3169,45,all
develop,154,3169,113,all
acting,154,3169,108,all
sees,154,3169,102,all
ann,154,3169,51,all
media,154,3169,81,all
nitrostat,153,3178,76,all
labetalol,153,3178,62,all
lexapro,153,3178,62,all
falling,153,3178,86,all
late,153,3178,92,all
died,153,3178,71,all
worked,153,3178,116,all
away,153,3178,99,all
heartburn,153,3178,109,all
spondylosis,153,3178,72,all
lt,152,3188,65,all
distance,152,3188,94,all
overlying,152,3188,76,all
promethazine,152,3188,71,all
deg,152,3188,25,all
forearm,152,3188,58,all
chamber,152,3188,57,all
specified,152,3188,86,all
corrected,152,3188,101,all
unsteadiness,152,3188,104,all
stiffness,152,3188,99,all
urgent,152,3188,93,all
six,152,3188,84,all
fvc,152,3188,34,all
dissection,151,3202,55,all
points,151,3202,69,all
measurements,151,3202,115,all
marion,151,3202,39,all
especially,151,3202,112,all
dosage,151,3202,87,all
nexium,151,3202,61,all
lhc,151,3202,52,all
blocker,151,3202,80,all
amputation,151,3202,34,all
bronchitis,151,3202,53,all
nuclear,151,3202,80,all
haldol,151,3202,55,all
caller,150,3215,95,all
foci,150,3215,76,all
rdw,150,3215,100,all
limitation,150,3215,96,all
mineral,150,3215,55,all
abduction,150,3215,75,all
dexa,150,3215,71,all
environmental,150,3215,99,all
hips,150,3215,88,all
quadrant,150,3215,65,all
pectoris,150,3215,59,all
wine,150,3215,86,all
membrane,150,3215,64,all
void,150,3215,67,all
hospitalized,150,3215,103,all
mychart,150,3215,81,all
lancets,149,3231,49,all
minimally,149,3231,96,all
look,149,3231,119,all
poa,149,3231,77,all
aaa,149,3231,50,all
percocet,149,3231,67,all
rectum,149,3231,72,all
antibody,149,3231,74,all
burden,149,3231,64,all
worsen,149,3231,111,all
ductal,149,3231,66,all
dorsiflexion,149,3231,59,all
broad,149,3231,91,all
flap,149,3231,34,all
trend,148,3245,94,all
passed,148,3245,92,all
sbp,148,3245,80,all
caucasian,148,3245,86,all
straight,148,3245,113,all
consistency,148,3245,89,all
edited,148,3245,97,all
become,148,3245,98,all
optimize,148,3245,73,all
organ,148,3245,77,all
patel,148,3245,44,all
excellent,148,3245,98,all
preoperative,148,3245,61,all
mchc,147,3258,98,all
double,147,3258,102,all
levetiracetam,147,3258,58,all
safely,147,3258,71,all
choice,147,3258,98,all
letter,147,3258,86,all
brace,147,3258,54,all
scope,147,3258,91,all
exposed,147,3258,90,all
habits,147,3258,106,all
query,147,3258,28,all
sprays,147,3258,67,all
clonazepam,147,3258,57,all
rheumatoid,147,3258,39,all
overt,146,3272,99,all
crush,146,3272,97,all
hydrocortisone,146,3272,51,all
trimethoprim,146,3272,63,all
proper,146,3272,86,all
accompanied,146,3272,109,all
ivc,146,3272,52,all
colonic,146,3272,64,all
postop,146,3272,59,all
indicate,145,3281,83,all
focused,145,3281,115,all
nares,145,3281,95,all
dated,145,3281,80,all
paranoia,145,3281,46,all
sx,145,3281,85,all
organisms,145,3281,57,all
tunnel,145,3281,60,all
proofreading,144,3289,92,all
questionable,144,3289,73,all
adrenal,144,3289,77,all
bat,144,3289,42,all
rec,144,3289,97,all
supplements,144,3289,98,all
monthly,144,3289,66,all
sustained,144,3289,89,all
meloxicam,144,3289,73,all
marie,144,3289,49,all
tear,144,3289,57,all
alertness,144,3289,88,all
risperdal,144,3289,38,all
matthew,144,3289,53,all
probable,144,3289,79,all
job,144,3289,93,all
ep,144,3289,46,all
contour,144,3289,80,all
failed,144,3289,88,all
discontinue,144,3289,90,all
vldl,144,3289,89,all
tinnitus,144,3289,78,all
shunt,144,3289,27,all
forehead,144,3289,59,all
nwb,144,3289,34,all
gray,143,3314,86,all
calf,143,3314,80,all
jan,143,3314,73,all
household,143,3314,99,all
sound,143,3314,98,all
tub,143,3314,68,all
achilles,143,3314,43,all
target,143,3314,85,all
cardiomediastinal,143,3314,80,all
hctz,143,3314,73,all
aprn,143,3314,65,all
02,143,3314,65,all
spec,143,3314,63,all
evident,143,3314,91,all
auto,143,3314,67,all
prepare,143,3314,82,all
gc,143,3314,99,all
scribe,143,3314,78,all
minor,142,3332,81,all
hydrocephalus,142,3332,57,all
closely,142,3332,98,all
imbalance,142,3332,71,all
unfortunately,142,3332,99,all
atherosclerosis,142,3332,69,all
strategies,142,3332,79,all
relaxation,142,3332,66,all
atenolol,142,3332,43,all
symbicort,142,3332,54,all
ecchymosis,142,3332,68,all
reflex,141,3343,93,all
clot,141,3343,57,all
nonetheless,141,3343,89,all
ampac,141,3343,98,all
shah,141,3343,41,all
sarah,141,3343,54,all
technology,141,3343,74,all
advise,141,3343,98,all
rare,141,3343,90,all
nipple,141,3343,50,all
staphylococcus,141,3343,50,all
fixation,141,3343,49,all
rutledge,140,3355,73,all
correlation,140,3355,68,all
combined,140,3355,55,all
displaced,140,3355,64,all
exams,140,3355,89,all
features,140,3355,66,all
secretions,140,3355,69,all
deformities,140,3355,89,all
passive,140,3355,73,all
depakote,140,3355,36,all
actual,140,3355,73,all
crp,140,3355,67,all
displayed,140,3355,90,all
lactulose,140,3355,26,all
joel,140,3355,23,all
cysts,139,3370,64,all
symmetrically,139,3370,91,all
folvite,139,3370,81,all
tdap,139,3370,78,all
reps,139,3370,88,all
dates,139,3370,70,all
sam,139,3370,62,all
incomplete,139,3370,73,all
washing,139,3370,53,all
ptt,139,3370,88,all
sudden,139,3370,73,all
real,139,3370,94,all
lpn,139,3370,54,all
suggesting,138,3383,74,all
lvef,138,3383,62,all
de,138,3383,62,all
accuracy,138,3383,82,all
setup,138,3383,54,all
polyp,138,3383,65,all
arrest,138,3383,38,all
restless,138,3383,60,all
slowly,138,3383,100,all
la,138,3383,56,all
frequently,138,3383,106,all
paying,138,3383,95,all
street,138,3383,97,all
modification,138,3383,91,all
ucx,138,3383,54,all
retinal,138,3383,55,all
wear,138,3383,92,all
fingerstick,138,3383,22,all
constant,138,3383,88,all
mo,137,3402,76,all
pco,137,3402,79,all
naturally,137,3402,88,all
bc,137,3402,72,all
brisk,137,3402,69,all
excessive,137,3402,89,all
intubation,137,3402,52,all
swollen,137,3402,84,all
encephalomalacia,137,3402,46,all
nonicteric,137,3402,97,all
plaque,137,3402,70,all
csf,137,3402,53,all
ocular,137,3402,78,all
causing,137,3402,90,all
talk,137,3402,94,all
emily,137,3402,63,all
conservative,137,3402,83,all
restraints,137,3402,44,all
straining,137,3402,40,all
west,136,3421,78,all
holds,136,3421,26,all
standpoint,136,3421,95,all
transitioned,136,3421,82,all
warranted,136,3421,86,all
scar,136,3421,86,all
stimulation,136,3421,81,all
shoes,136,3421,71,all
multilevel,136,3421,69,all
dermatitis,136,3421,70,all
ace,136,3421,81,all
advance,136,3421,85,all
hunger,136,3421,88,all
causes,136,3421,89,all
surgeries,136,3421,77,all
junction,136,3421,65,all
helpful,136,3421,89,all
vac,136,3421,27,all
radiculopathy,136,3421,49,all
prostatectomy,136,3421,29,all
donor,136,3421,24,all
isolation,135,3442,79,all
ub,135,3442,53,all
mon,135,3442,70,all
ultimately,135,3442,81,all
enhancement,135,3442,71,all
utilized,135,3442,79,all
electrophysiology,135,3442,48,all
colitis,135,3442,41,all
picc,135,3442,40,all
lynn,135,3442,48,all
admits,135,3442,86,all
begin,135,3442,98,all
oblique,135,3442,55,all
supplementation,135,3442,88,all
checking,135,3442,82,all
sterile,135,3442,61,all
miranda,135,3442,19,all
cx,134,3459,59,all
decided,134,3459,98,all
organism,134,3459,56,all
straw,134,3459,87,all
involvement,134,3459,74,all
positioning,134,3459,77,all
diff,134,3459,57,all
howard,134,3459,39,all
spontaneously,134,3459,79,all
ll,134,3459,83,all
lobes,133,3469,64,all
drowsy,133,3469,51,all
railing,133,3469,102,all
manages,133,3469,113,all
marrow,133,3469,49,all
ice,133,3469,86,all
coronavirus,133,3469,78,all
sp,133,3469,66,all
ascorbic,133,3469,62,all
benazepril,133,3469,52,all
sats,133,3469,75,all
suture,133,3469,76,all
inj,133,3469,44,all
map,133,3469,49,all
located,133,3469,90,all
gtt,133,3469,66,all
ccm,133,3469,28,all
document,133,3469,86,all
infarcts,132,3487,41,all
ica,132,3487,29,all
solids,132,3487,62,all
lymphocyte,132,3487,78,all
disoriented,132,3487,80,all
steady,132,3487,86,all
typically,132,3487,77,all
ever,132,3487,83,all
burning,132,3487,91,all
sec,132,3487,68,all
nystatin,132,3487,59,all
something,131,3498,102,all
expansion,131,3498,84,all
julie,131,3498,49,all
seem,131,3498,104,all
microvascular,131,3498,58,all
fingers,131,3498,50,all
ttp,131,3498,68,all
feeds,131,3498,52,all
cannula,131,3498,76,all
united,131,3498,74,all
dentition,131,3498,99,all
intra,131,3498,75,all
mngment,131,3498,115,all
escitalopram,131,3498,63,all
oa,131,3498,68,all
titrate,131,3498,60,all
waiting,131,3498,101,all
knows,131,3498,101,all
disintegrating,131,3498,74,all
dear,131,3498,94,all
blurry,131,3498,74,all
referrals,131,3498,84,all
ambien,131,3498,48,all
gaze,130,3521,63,all
definite,130,3521,69,all
relatively,130,3521,84,all
illicit,130,3521,100,all
solid,130,3521,66,all
hydrodiuril,130,3521,66,all
electronic,130,3521,87,all
reassurance,130,3521,77,all
historian,130,3521,90,all
rotator,130,3521,64,all
iop,130,3521,45,all
iodine,130,3521,65,all
kit,129,3533,55,all
charge,129,3533,96,all
compromise,129,3533,58,all
sips,129,3533,75,all
volumes,129,3533,61,all
individual,129,3533,77,all
dist,129,3533,19,all
agent,129,3533,66,all
drawn,129,3533,78,all
asleep,129,3533,78,all
esomeprazole,129,3533,63,all
ligation,129,3533,53,all
bg,129,3533,47,all
loratadine,129,3533,61,all
humerus,129,3533,22,all
ureter,129,3533,26,all
words,128,3549,71,all
background,128,3549,66,all
ammonia,128,3549,58,all
adjusting,128,3549,104,all
climbing,128,3549,99,all
poorly,128,3549,71,all
objects,128,3549,73,all
opiate,128,3549,111,all
dexamethasone,128,3549,43,all
defer,128,3549,90,all
island,128,3549,69,all
north,128,3549,78,all
sigmoid,128,3549,38,all
containing,128,3549,69,all
linda,128,3549,30,all
depressive,128,3549,66,all
orif,128,3549,32,all
carol,128,3549,31,all
optional,128,3549,39,all
looking,127,3568,101,all
approach,127,3568,71,all
shoulders,127,3568,70,all
duct,127,3568,43,all
weights,127,3568,86,all
awareness,127,3568,70,all
choking,127,3568,67,all
page,127,3568,90,all
child,127,3568,78,all
directives,127,3568,66,all
business,127,3568,51,all
susan,127,3568,37,all
taper,127,3568,58,all
faxed,127,3568,95,all
preparation,127,3568,94,all
enough,127,3568,101,all
station,127,3568,98,all
guaifenesin,127,3568,54,all
levaquin,127,3568,47,all
remove,127,3568,84,all
motrin,127,3568,68,all
acids,127,3568,66,all
laparoscopic,127,3568,52,all
klonopin,127,3568,58,all
schizophrenia,127,3568,21,all
labeled,127,3568,40,all
nails,127,3568,82,all
compatible,126,3595,61,all
paul,126,3595,46,all
authority,126,3595,105,all
angioplasty,126,3595,46,all
tachycardic,126,3595,68,all
preference,126,3595,93,all
lnp,126,3595,76,all
tracheal,126,3595,93,all
tactile,126,3595,66,all
contributing,126,3595,86,all
promoted,126,3595,54,all
talked,126,3595,82,all
subclavian,126,3595,47,all
psychosis,126,3595,38,all
dependence,126,3595,39,all
ventolin,126,3595,59,all
urge,126,3595,50,all
hot,126,3595,71,all
septum,126,3595,73,all
therapies,126,3595,74,all
hemorrhagic,125,3615,36,all
facet,125,3615,48,all
tubes,125,3615,69,all
icteric,125,3615,77,all
african,125,3615,70,all
ind,125,3615,62,all
attestations,125,3615,110,all
tears,125,3615,51,all
ns,125,3615,69,all
exudate,125,3615,89,all
kenneth,125,3615,41,all
lymphatics,125,3615,88,all
celexa,125,3615,57,all
roxicodone,125,3615,83,all
tunneled,125,3615,23,all
oct,125,3615,52,all
orbits,124,3631,76,all
looks,124,3631,84,all
hfref,124,3631,34,all
texture,124,3631,84,all
reporting,124,3631,85,all
mobic,124,3631,68,all
original,124,3631,89,all
danilova,124,3631,4,all
anthony,124,3631,48,all
numbers,124,3631,74,all
sutures,124,3631,60,all
uterus,124,3631,67,all
jessica,124,3631,52,all
03,124,3631,49,all
easy,124,3631,87,all
remaining,124,3631,85,all
smear,124,3631,54,all
cutaneous,124,3631,61,all
thickened,123,3649,60,all
positives,123,3649,92,all
entire,123,3649,90,all
canals,123,3649,82,all
components,123,3649,74,all
thoughts,123,3649,76,all
dissolve,123,3649,67,all
imm,123,3649,83,all
zyloprim,123,3649,59,all
interventional,123,3649,59,all
rotation,123,3649,44,all
ferritin,123,3649,57,all
perforation,123,3649,42,all
bruise,123,3649,91,all
kershaw,123,3649,25,all
doe,123,3649,67,all
svetlana,123,3649,4,all
production,123,3649,72,all
dual,123,3649,55,all
lived,123,3649,84,all
timolol,123,3649,43,all
plastic,123,3649,30,all
lap,123,3649,50,all
scanned,123,3649,92,all
proair,123,3649,59,all
hall,122,3674,51,all
shrug,122,3674,77,all
cardizem,122,3674,48,all
popliteal,122,3674,43,all
particularly,122,3674,85,all
bad,122,3674,88,all
artificial,122,3674,56,all
rr,122,3674,71,all
consulting,122,3674,81,all
voiced,122,3674,96,all
income,122,3674,99,all
pursue,122,3674,85,all
cloudy,122,3674,65,all
tired,122,3674,86,all
recommending,122,3674,85,all
dressed,122,3674,93,all
provides,122,3674,90,all
wed,122,3674,49,all
expenses,122,3674,82,all
trident,122,3674,31,all
lvot,122,3674,24,all
celebrex,122,3674,45,all
refuses,122,3674,77,all
george,122,3674,45,all
risperidone,122,3674,34,all
qi,122,3674,7,all
joshua,121,3700,52,all
naeon,121,3700,70,all
elevates,121,3700,80,all
specify,121,3700,83,all
grab,121,3700,77,all
micu,121,3700,29,all
mrsa,121,3700,46,all
et,121,3700,60,all
oxybutynin,121,3700,50,all
djd,121,3700,36,all
gatherings,121,3700,87,all
midodrine,121,3700,33,all
wears,121,3700,81,all
testosterone,121,3700,36,all
epinephrine,121,3700,69,all
cheek,121,3700,55,all
perioperative,121,3700,39,all
opacification,120,3717,46,all
dominant,120,3717,74,all
ganglia,120,3717,53,all
deemed,120,3717,79,all
valent,120,3717,62,all
caliber,120,3717,55,all
alf,120,3717,42,all
fund,120,3717,80,all
maxillary,120,3717,52,all
bound,120,3717,54,all
unsteady,120,3717,74,all
rather,120,3717,93,all
sulfamethoxazole,120,3717,59,all
parkinsonism,120,3717,48,all
flx,120,3717,49,all
barbara,120,3717,33,all
detachment,120,3717,49,all
badl,120,3717,42,all
dizzy,120,3717,77,all
origin,120,3717,54,all
hypodensity,119,3737,58,all
fluoro,119,3737,56,all
al,119,3737,54,all
stonerock,119,3737,17,all
ngtd,119,3737,45,all
radiographic,119,3737,70,all
excluded,119,3737,59,all
cueing,119,3737,48,all
tele,119,3737,71,all
workstation,119,3737,41,all
qualitative,119,3737,39,all
law,119,3737,69,all
hilar,119,3737,54,all
bronchiectasis,119,3737,23,all
maria,119,3737,45,all
margin,119,3737,36,all
development,119,3737,83,all
transverse,119,3737,44,all
spv,119,3737,41,all
aureus,119,3737,44,all
vi,118,3757,83,all
suite,118,3757,83,all
stimulating,118,3757,79,all
semi,118,3757,81,all
milieu,118,3757,28,all
asking,118,3757,99,all
accurately,118,3757,78,all
ave,118,3757,79,all
thinners,118,3757,65,all
dermatology,118,3757,67,all
jaw,118,3757,76,all
bloody,118,3757,74,all
collapse,118,3757,54,all
ds,118,3757,63,all
nondisplaced,118,3757,32,all
nedervelt,118,3757,8,all
viii,117,3773,62,all
blankets,117,3773,91,all
edge,117,3773,74,all
hit,117,3773,75,all
bars,117,3773,70,all
hoyer,117,3773,51,all
cipro,117,3773,51,all
cov,117,3773,42,all
wean,117,3773,68,all
aluminum,117,3773,67,all
odt,117,3773,61,all
believes,117,3773,80,all
brushing,117,3773,42,all
pathologic,117,3773,55,all
leads,117,3773,62,all
emr,117,3773,78,all
fill,117,3773,50,all
blindness,116,3790,52,all
prepped,116,3790,78,all
lewis,116,3790,45,all
oxygenation,116,3790,50,all
numerous,116,3790,71,all
atrophic,116,3790,56,all
postsurgical,116,3790,44,all
haloperidol,116,3790,43,all
stents,116,3790,53,all
third,116,3790,59,all
injuries,116,3790,53,all
prosthesis,116,3790,62,all
diagnostics,116,3790,88,all
ketones,116,3790,76,all
inhaled,116,3790,35,all
peptide,116,3790,53,all
adverse,116,3790,71,all
requests,116,3790,80,all
pacing,116,3790,48,all
fasting,116,3790,65,all
cyclobenzaprine,116,3790,52,all
breasts,116,3790,64,all
fosamax,116,3790,38,all
sharp,116,3790,67,all
laser,116,3790,39,all
remember,115,3815,76,all
biceps,115,3815,56,all
nihss,115,3815,30,all
discontinuation,115,3815,60,all
cessation,115,3815,60,all
ulceration,115,3815,69,all
consideration,115,3815,73,all
diuretics,115,3815,53,all
pts,115,3815,65,all
ur,115,3815,37,all
pharmd,115,3815,53,all
kelly,115,3815,37,all
gluconate,115,3815,45,all
coloration,115,3815,94,all
fecal,115,3815,56,all
08,115,3815,47,all
om,115,3815,40,all
dietary,115,3815,66,all
pred,115,3815,38,all
fibromyalgia,115,3815,23,all
multiplanar,114,3835,64,all
dilaudid,114,3835,49,all
lfts,114,3835,61,all
sheets,114,3835,92,all
reeducation,114,3835,88,all
resulting,114,3835,69,all
wednesday,114,3835,62,all
thrive,114,3835,41,all
man,114,3835,69,all
clarity,114,3835,76,all
poctrop,114,3835,65,all
various,114,3835,66,all
potentially,114,3835,72,all
evidenced,114,3835,75,all
hydroxyzine,114,3835,51,all
partners,114,3835,79,all
hfpef,114,3835,34,all
depth,114,3835,46,all
rheumatology,114,3835,27,all
immunizations,113,3854,98,all
flagyl,113,3854,40,all
naming,113,3854,57,all
grip,113,3854,66,all
created,113,3854,73,all
automated,113,3854,53,all
permanent,113,3854,57,all
morphology,113,3854,57,all
ste,113,3854,85,all
mupirocin,113,3854,44,all
samuel,113,3854,36,all
bd,113,3854,52,all
functioning,113,3854,69,all
tubal,113,3854,46,all
dictating,113,3854,29,all
special,113,3854,71,all
dd,113,3854,74,all
transoral,113,3854,46,all
replace,113,3854,63,all
ha,113,3854,82,all
surveillance,113,3854,51,all
lob,113,3854,73,all
jardiance,113,3854,27,all
pitting,113,3854,62,all
foreign,113,3854,45,all
pump,112,3879,39,all
lacunar,112,3879,49,all
prns,112,3879,52,all
discussing,112,3879,81,all
table,112,3879,74,all
leu,112,3879,89,all
ellipta,112,3879,51,all
substitutions,112,3879,33,all
director,112,3879,75,all
weekend,112,3879,86,all
action,112,3879,71,all
inhibitors,112,3879,55,all
vasc,112,3879,53,all
burn,112,3879,26,all
septal,112,3879,56,all
hypotensive,112,3879,60,all
orthopedics,112,3879,52,all
esophagogastroduodenoscopy,112,3879,41,all
laryngoscopy,112,3879,15,all
jordan,112,3879,36,all
lupus,112,3879,21,all
peroneal,112,3879,27,all
jeffrey,112,3879,49,all
centered,111,3902,66,all
preserved,111,3902,67,all
pediatric,111,3902,50,all
nonfocal,111,3902,73,all
ctm,111,3902,47,all
music,111,3902,40,all
willing,111,3902,82,all
tm,111,3902,72,all
sr,111,3902,52,all
allen,111,3902,40,all
almost,111,3902,79,all
acetate,111,3902,48,all
originally,111,3902,81,all
trach,111,3902,15,all
collj,111,3902,45,all
