feature,chi2,p,n_target,n_reference,p_value,p_adjusted,significant
overloaded,7.852794317488606,0.005074221927646727,30,9,0.005074221927646713,0.021421474016777086,TRUE
rivers,7.852794317488606,0.005074221927646727,30,9,0.005074221927646713,0.021421474016777086,TRUE
pursue,7.852774278195153,0.005074278170868807,82,40,0.0050742781708687885,0.021421474016777086,TRUE
fractures,7.846039117006118,0.005093217426413776,192,115,0.005093217426413757,0.021494894207067964,TRUE
avs,7.835882862402628,0.0051219131091361225,58,25,0.005121913109136125,0.021596311831448587,TRUE
dysmetria,7.835882862402628,0.0051219131091361225,58,25,0.005121913109136125,0.021596311831448587,TRUE
participated,7.835882862402628,0.0051219131091361225,58,25,0.005121913109136125,0.021596311831448587,TRUE
break,7.82799619943504,0.00514430985857528,53,22,0.005144309858575331,0.021684163771093404,TRUE
fxl,7.819002387787741,0.005169972568874526,24,6,0.005169972568874477,0.021772513344177565,TRUE
link,7.819002387787741,0.005169972568874526,24,6,0.005169972568874477,0.021772513344177565,TRUE
samantha,7.819002387787741,0.005169972568874526,24,6,0.005169972568874477,0.021772513344177565,TRUE
callosum,7.813948096615962,0.0051844515820396175,28,8,0.0051844515820396436,0.021813646780656958,TRUE
irregularly,7.813948096615962,0.0051844515820396175,28,8,0.0051844515820396436,0.021813646780656958,TRUE
somatom,7.813948096615962,0.0051844515820396175,28,8,0.0051844515820396436,0.021813646780656958,TRUE
checks,7.812262923725,0.005189288273648285,172,101,0.005189288273648309,0.021827384867565525,TRUE
fs,7.800176666360291,0.005224112645215384,26,7,0.005224112645215337,0.021960563114223914,TRUE
saturating,7.800176666360291,0.005224112645215384,26,7,0.005224112645215337,0.021960563114223914,TRUE
tracheostomy,7.787935361108099,0.005259626609891432,74,35,0.005259626609891463,0.022103163081628602,TRUE
moves,7.7863937516159165,0.005264116476941583,130,72,0.0052641164769416365,0.02211533991174906,TRUE
rapid,7.7715661537364955,0.005307501197525322,169,99,0.005307501197525358,0.022255013696724748,TRUE
alerted,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
amnestic,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
antrum,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
chopped,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
doherty,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
dss,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
emotions,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
ftn,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
garris,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
lvad,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
nepro,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
proctitis,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
tmax,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
visceromegaly,7.766842669076176,0.005321398263865129,15,2,0.005321398263865137,0.022255013696724748,TRUE
chf,7.736556253461447,0.0054113904406881685,366,242,0.005411390440688222,0.02262456406704356,TRUE
fem,7.720995543088787,0.005458228964530409,39,14,0.005458228964530377,0.022813524552621853,TRUE
sensitive,7.708663515516048,0.0054956424647196744,115,62,0.005495642464719701,0.02296298982926953,TRUE
practice,7.690304382821758,0.005551826343628274,250,157,0.005551826343628297,0.023190771755384487,TRUE
law,7.676383887525855,0.005594816970718841,80,39,0.005594816970718817,0.023363323182896464,TRUE
cr,7.669864962891308,0.005615065913791462,367,243,0.005615065913791412,0.023440832725172504,TRUE
bmp,7.620824342043419,0.005769810790159591,215,132,0.005769810790159596,0.024079597976119783,TRUE
blastic,7.605634368309481,0.005818618929835817,37,13,0.005818618929835818,0.02427599829272745,TRUE
stretcher,7.578838352359759,0.00590574869191951,44,17,0.005905748691919514,0.02463211518981085,TRUE
meeting,7.578061022770882,0.00590829602445464,141,80,0.005908296024454669,0.024635341784344306,TRUE
acs,7.551311423414492,0.005996641722957663,75,36,0.005996641722957642,0.024988705937641374,TRUE
port,7.551311423414492,0.005996641722957663,75,36,0.005996641722957642,0.024988705937641374,TRUE
readmission,7.541482700347378,0.006029440572683065,59,26,0.006029440572683098,0.025117846464905683,TRUE
marie,7.537270126820363,0.006043554086924918,95,49,0.00604355408692493,0.025169092267856175,TRUE
bipolar,7.519503220828756,0.006103450994336845,104,55,0.00610345099433686,0.025410920521686045,TRUE
robin,7.516571931790989,0.0061133912006365865,49,20,0.006113391200636531,0.02544467796992532,TRUE
klebsiella,7.509295503567463,0.006138137543432398,54,23,0.006138137543432392,0.025532372668682985,TRUE
sets,7.509295503567463,0.006138137543432398,54,23,0.006138137543432392,0.025532372668682985,TRUE
injuries,7.500012912854439,0.006169855082512665,78,38,0.0061698550825126635,0.025656621928448618,TRUE
receipt,7.498111228083562,0.006176373534987789,35,12,0.006176373534987796,0.025676040714590096,TRUE
couch,7.465069746984044,0.006290759409669167,17,3,0.006290759409669141,0.02593042293524371,TRUE
cryptogenic,7.465069746984044,0.006290759409669167,17,3,0.006290759409669141,0.02593042293524371,TRUE
forgetful,7.465069746984044,0.006290759409669167,17,3,0.006290759409669141,0.02593042293524371,TRUE
heights,7.465069746984044,0.006290759409669167,17,3,0.006290759409669141,0.02593042293524371,TRUE
inpt,7.465069746984044,0.006290759409669167,17,3,0.006290759409669141,0.02593042293524371,TRUE
insult,7.465069746984044,0.006290759409669167,17,3,0.006290759409669141,0.02593042293524371,TRUE
loculated,7.465069746984044,0.006290759409669167,17,3,0.006290759409669141,0.02593042293524371,TRUE
prediction,7.465069746984044,0.006290759409669167,17,3,0.006290759409669141,0.02593042293524371,TRUE
ram,7.465069746984044,0.006290759409669167,17,3,0.006290759409669141,0.02593042293524371,TRUE
seceal,7.465069746984044,0.006290759409669167,17,3,0.006290759409669141,0.02593042293524371,TRUE
transfused,7.465069746984044,0.006290759409669167,17,3,0.006290759409669141,0.02593042293524371,TRUE
anthropometrics,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
coffey,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
dialyzed,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
expressing,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
extraluminal,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
inappropriately,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
kuhnlein,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
linen,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
malnourished,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
mathis,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
midthoracic,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
occupationaltherapy,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
ozark,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
phonemic,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
poss,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
prudence,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
sherry,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
supraorbital,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
torrey,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
vivek,7.4637303931335595,0.006295441438378679,12,1,0.006295441438378702,0.02593042293524371,TRUE
cardiogenic,7.440085929754143,0.006378684458486994,42,16,0.00637868445848695,0.02612963149414121,TRUE
stabilized,7.440085929754143,0.006378684458486994,42,16,0.00637868445848695,0.02612963149414121,TRUE
antithrombotics,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
ashish,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
asystole,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
beck,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
behaviorally,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
brookestone,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
cannon,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
causative,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
clinicals,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
clinton,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
cooler,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
creeden,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
crescent,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
cxs,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
decr,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
delerium,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
dessez,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
eggart,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
enterovaginal,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
fannie,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
feliciano,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
fredie,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
gordon,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
hecker,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
hydral,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
indicator,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
interruptions,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
keng,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
knight,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
kocher,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
lackey,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
lockwood,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
lorine,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
lovett,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
mcburney,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
micafungin,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
milano,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
mirabilis,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
mtt,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
navihealth,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
nes,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
nods,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
nutren,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
oliguria,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
pericardectomy,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
pocglu,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
possessions,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
primacor,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
providencia,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
pureflow,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
repleting,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
rosnack,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
secluded,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
similarities,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
singleton,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
stuartii,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
supplemented,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
talreja,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
thomasina,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
tune,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
txa,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
underdistention,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
untouched,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
uremic,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
vd,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
vijay,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
wireless,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
wunder,7.412979907443656,0.006475497991420109,11,0,0.00647549799142012,0.02612963149414121,TRUE
consume,7.400029304851583,0.006522281453629097,33,11,0.006522281453629151,0.02631076593362047,TRUE
julie,7.396741367215989,0.006534213811365208,87,44,0.0065342138113652385,0.026351247278179966,TRUE
87,7.3759309473459655,0.006610256323215324,287,185,0.006610256323215346,0.02664792570357868,TRUE
emesis,7.375560735526809,0.006611617249228319,73,35,0.006611617249228319,0.02664792570357868,TRUE
sts,7.363730122845251,0.006655258448210022,47,19,0.00665525844821003,0.026816038464516707,TRUE
virus,7.362334782086737,0.006660424988475966,111,60,0.0066604249884759485,0.026829072698649203,TRUE
nonetheless,7.361104591863411,0.006664983421614257,93,48,0.006664983421614264,0.026839650548796896,TRUE
subsequently,7.347259594800797,0.006716505876106171,105,56,0.006716505876106223,0.02703928988789546,TRUE
edward,7.344692652527207,0.0067261030420457946,102,54,0.006726103042045802,0.02707007973079517,TRUE
limits,7.339831110915801,0.006744317546901524,337,222,0.006744317546901528,0.027135523293428544,TRUE
atrial,7.305980340836244,0.006872549132598937,1030,753,0.006872549132598926,0.027643146867166166,TRUE
euvolemic,7.305479776730625,0.006874463912390549,40,15,0.00687446391239052,0.027643146867166166,TRUE
vein,7.2990655918836405,0.0068990480170162405,288,186,0.006899048017016284,0.02773397334539484,TRUE
mathew,7.28813027574298,0.006941167841362228,19,4,0.0069411678413621855,0.027895219950428065,TRUE
conc,7.261023599417715,0.007046711605854128,255,162,0.007046711605854083,0.028311188167112335,TRUE
convexity,7.241133179828187,0.007125199636041857,29,9,0.007125199636041858,0.028601704550573807,TRUE
intakes,7.241133179828187,0.007125199636041857,29,9,0.007125199636041858,0.028601704550573807,TRUE
labile,7.241133179828187,0.007125199636041857,29,9,0.007125199636041858,0.028601704550573807,TRUE
ac,7.238903235112529,0.0071340545507972974,177,106,0.0071340545507973425,0.02862897534123788,TRUE
ef,7.2217736545603755,0.007202450630141355,370,247,0.0072024506301413506,0.028895100173897525,TRUE
herniation,7.213166301184759,0.007237071179989507,45,18,0.0072370711799895505,0.029025608321939032,TRUE
comorbidities,7.201931701497588,0.007282515043723792,112,61,0.007282515043723737,0.02919943748333689,TRUE
angry,7.192812764040569,0.007319615418857284,21,5,0.007319615418857301,0.02928900563310546,TRUE
chase,7.192812764040569,0.007319615418857284,21,5,0.007319615418857301,0.02928900563310546,TRUE
homecare,7.192812764040569,0.007319615418857284,21,5,0.007319615418857301,0.02928900563310546,TRUE
huggins,7.192812764040569,0.007319615418857284,21,5,0.007319615418857301,0.02928900563310546,TRUE
overlie,7.192812764040569,0.007319615418857284,21,5,0.007319615418857301,0.02928900563310546,TRUE
polymerase,7.192812764040569,0.007319615418857284,21,5,0.007319615418857301,0.02928900563310546,TRUE
thalamic,7.192812764040569,0.007319615418857284,21,5,0.007319615418857301,0.02928900563310546,TRUE
recommends,7.187260761623228,0.007342298272878467,50,21,0.007342298272878516,0.02937130780875856,TRUE
reglan,7.186707599793468,0.007344562161945456,27,8,0.007344562161945456,0.029371904367192753,TRUE
subtle,7.1757374729551415,0.007389606539450422,38,14,0.007389606539450425,0.029543536334607642,TRUE
falling,7.169958869574845,0.007413447466885548,100,53,0.007413447466885551,0.02963032283958947,TRUE
oropharyngeal,7.167750269579423,0.007422580295054049,154,90,0.007422580295054025,0.02965829048274032,TRUE
intraperitoneal,7.155219200213843,0.007474615942621887,25,7,0.007474615942621849,0.02983000566340182,TRUE
ah,7.153786337659413,0.007480589655528003,23,6,0.0074805896555280105,0.02983000566340182,TRUE
glf,7.153786337659413,0.007480589655528003,23,6,0.0074805896555280105,0.02983000566340182,TRUE
jenkins,7.153786337659413,0.007480589655528003,23,6,0.0074805896555280105,0.02983000566340182,TRUE
pinckney,7.153786337659413,0.007480589655528003,23,6,0.0074805896555280105,0.02983000566340182,TRUE
swapna,7.153786337659413,0.007480589655528003,23,6,0.0074805896555280105,0.02983000566340182,TRUE
village,7.153786337659413,0.007480589655528003,23,6,0.0074805896555280105,0.02983000566340182,TRUE
insight,7.114323689712465,0.007647044766352917,192,117,0.0076470447663529425,0.030485018587794496,TRUE
lue,7.106806699803252,0.0076791786118163285,122,68,0.007679178611816306,0.03060433622367767,TRUE
close,7.082924389328793,0.007782190489739382,175,105,0.0077821904897393485,0.031005979263336148,TRUE
med,7.0718274685629785,0.007830534704478143,646,457,0.00783053470447813,0.031189646260538217,TRUE
lighting,7.0652221268418876,0.007859456854257041,43,17,0.007859456854257063,0.03128690061587169,TRUE
rhabdomyolysis,7.0652221268418876,0.007859456854257041,43,17,0.007859456854257063,0.03128690061587169,TRUE
donned,7.051752331889499,0.007918774691685893,36,13,0.007918774691685847,0.03149595122933126,TRUE
epileptiform,7.051752331889499,0.007918774691685893,36,13,0.007918774691685847,0.03149595122933126,TRUE
television,7.051752331889499,0.007918774691685893,36,13,0.007918774691685847,0.03149595122933126,TRUE
cane,7.028891124011265,0.008020500166595945,269,173,0.008020500166595963,0.031891419070670286,TRUE
troponins,7.02423826378982,0.008041367143830969,69,33,0.008041367143830977,0.031965239914329834,TRUE
abductors,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
audrey,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
bib,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
carmen,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
concrete,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
correlated,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
crossed,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
emad,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
eol,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
leroy,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
masslike,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
mattress,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
mepilex,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
nonemergent,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
paschal,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
poholsky,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
precontrast,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
protease,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
recreation,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
sickkids,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
teams,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
upgraded,6.994031250956297,0.008178195756883277,14,2,0.008178195756883227,0.03230573403508281,TRUE
much,6.971642693930588,0.008281144130983131,670,476,0.008281144130983098,0.03270310231311466,TRUE
bsn,6.934650705290033,0.008454157149101138,34,12,0.008454157149101159,0.033376858625317224,TRUE
acutely,6.920311188276993,0.008522214462641786,41,16,0.00852221446264178,0.03363598655061997,TRUE
seemed,6.914635466525492,0.008549306855534788,64,30,0.008549306855534842,0.033733330374012334,TRUE
ug,6.876921784863128,0.008731581703656732,51,22,0.008731581703656765,0.03444275441127203,TRUE
consistently,6.871039080183722,0.008760370088089942,46,19,0.008760370088089933,0.03454650203108492,TRUE
cardizem,6.86671176188641,0.008781608833333343,81,41,0.008781608833333355,0.03462042721719187,TRUE
declined,6.86238365540087,0.008802904172371617,191,117,0.008802904172371657,0.03469453349888477,TRUE
path,6.855971367747675,0.008834551410972669,160,95,0.008834551410972705,0.03480938568709217,TRUE
klonopin,6.846741895880763,0.008880307190859416,84,43,0.008880307190859435,0.03497974661765363,TRUE
dyskinesias,6.825873275635929,0.008984661490333279,32,11,0.008984661490333251,0.035380766498224706,TRUE
clonazepam,6.820740402149463,0.009010520452015447,96,51,0.009010520452015496,0.035472539273821775,TRUE
lauren,6.740391582326244,0.009425393405361415,62,29,0.00942539340536139,0.037095293002851894,TRUE
brendan,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
brielle,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
dainton,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
draws,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
jette,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
kamouh,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
nitrate,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
phosphorubld,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
provision,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
simultaneous,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
strickland,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
stroebel,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
supination,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
thrill,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
woc,6.72847538487195,0.009488566834006895,16,3,0.009488566834006874,0.03717905255300253,TRUE
dmii,6.727292930150292,0.00949485919832238,30,10,0.009494859198322412,0.03717905255300253,TRUE
spect,6.727292930150292,0.00949485919832238,30,10,0.009494859198322412,0.03717905255300253,TRUE
versed,6.727292930150292,0.00949485919832238,30,10,0.009494859198322412,0.03717905255300253,TRUE
achieves,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
bacteriuria,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
blanchable,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
capability,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
dewitt,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
elaborate,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
encephalitis,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
fees,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
helicobacter,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
kara,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
llsb,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
metapneumovirus,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
obstacles,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
osborne,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
perivesicular,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
pma,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
queried,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
retirement,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
sciences,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
semiovale,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
shakes,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
sjs,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
tamekia,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
trails,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
unseen,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
vasogenic,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
viola,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
vivian,6.657456246570024,0.009874176812454505,11,1,0.009874176812454548,0.03831864815540129,TRUE
